,META,AAPL,AMZN,GOOG
esg_prem,-0.03476586277949939,-0.08622359239808565,0.14427301465376352,-0.023283559476178495
margin_of_safety,45.0,45.0,45.0,45.0
dcf_low,461927.38895848935,1004529.1467533231,674182.0789644415,1641211.871081963
dcf_high,730143.292224709,1587804.1351907367,1065642.6409437947,2594173.602677942
dcf,596035.3405915991,1296166.6409720299,869912.359954118,2117692.7368799523
