Indicators,AAPL,GOOG
esg_prem,-0.0862235923980856,-0.0232835594761784
margin_of_safety,45.0,45.0
dcf_low,1004529.1467533231,1641211.871081963
dcf_high,1587804.1351907367,2594173.602677942
dcf,1296166.64097203,2117692.7368799523
