symbol,esg_prem,margin_of_safety,dcf_low,dcf_high,dcf
META,10.07,45,3759669.3188265692,9911855.47690641,6835762.397866489
AAPL,8.86,45,7692375.985541468,20279900.325518414,13986138.15552994
AMZN,14.280000000000001,45,6388985.302835712,16843688.525657784,11616336.91424675
GOOG,10.34,45,13522911.104922807,35651311.094796486,24587111.099859647
